,nucleus_diameter,name
pat_7,78.32835820895522,pat_7
pat_10,78.3671875,pat_10
pat_18,81.90697674418605,pat_18
pat_16,82.4695652173913,pat_16
pat_25,82.51515151515152,pat_25
pat_8,85.72161172161172,pat_8
pat_13,88.56451612903226,pat_13
pat_19,89.06766917293233,pat_19
pat_9,93.7926267281106,pat_9
pat_15,93.87978142076503,pat_15
pat_11,93.98139534883721,pat_11
pat_22,101.55555555555556,pat_22
pat_23,108.72602739726027,pat_23
pat_12,111.38461538461539,pat_12
